Fase Principal,Actividad/Subtarea,Prerequisito,Fecha Inicio,Fecha Fin,Duración (días),Insumos Cliente
FASE 1: DISCOVERY & PLANNING,1.4 Diseño Arquitectura Técnica,Requisitos identificados,08/10/2025,08/10/2025,1,N/A
FASE 1: DISCOVERY & PLANNING,  - Diagrama de componentes,Ninguno,08/10/2025,08/10/2025,0.375,N/A
FASE 1: DISCOVERY & PLANNING,  - Flujo de datos,Diagrama componentes,08/10/2025,08/10/2025,0.25,N/A
FASE 1: DISCOVERY & PLANNING,  - Documentación stack tecnológico,Ninguno,08/10/2025,08/10/2025,0.25,N/A
FASE 1: DISCOVERY & PLANNING,  - Validación arquitectura con cliente,Diagramas completos,08/10/2025,08/10/2025,0.125,Aprobación técnica cliente
FASE 1: DISCOVERY & PLANNING,1.5 Especificación API REST,Arquitectura definida,08/10/2025,09/10/2025,1,N/A
FASE 1: DISCOVERY & PLANNING,  - Definición endpoints,Ninguno,08/10/2025,08/10/2025,0.25,N/A
FASE 1: DISCOVERY & PLANNING,  - Modelos request/response,Endpoints definidos,08/10/2025,09/10/2025,0.5,N/A
FASE 1: DISCOVERY & PLANNING,  - Códigos de error,Modelos definidos,09/10/2025,09/10/2025,0.125,N/A
FASE 1: DISCOVERY & PLANNING,  - Documento Swagger YAML,API especificada,09/10/2025,09/10/2025,0.125,N/A
FASE 1: DISCOVERY & PLANNING,1.6 Wireframes Formulario,Requisitos MVP,09/10/2025,09/10/2025,0.5,Feedback diseño UX
FASE 1: DISCOVERY & PLANNING,  - Bocetos 8 secciones formulario,Ninguno,09/10/2025,09/10/2025,0.25,N/A
FASE 1: DISCOVERY & PLANNING,  - Flujo de usuario,Bocetos completos,09/10/2025,09/10/2025,0.125,N/A
FASE 1: DISCOVERY & PLANNING,  - Screenshots prototipo funcional,Prototipo existente,09/10/2025,09/10/2025,0.125,Validación cliente
FASE 1: DISCOVERY & PLANNING,1.7 Guía Desarrollo Fase 3,Arquitectura + API definida,10/10/2025,10/10/2025,1,N/A
FASE 1: DISCOVERY & PLANNING,  - Especificación frontend React,Ninguno,10/10/2025,10/10/2025,0.5,N/A
FASE 1: DISCOVERY & PLANNING,  - Recomendaciones integración backend,API Swagger,10/10/2025,10/10/2025,0.25,N/A
FASE 1: DISCOVERY & PLANNING,  - Guía de componentes sugeridos,Wireframes,10/10/2025,10/10/2025,0.25,N/A
FASE 1: DISCOVERY & PLANNING,1.8 Preparación Review Fase 1,Todos entregables Fase 1,10/10/2025,10/10/2025,0.5,N/A
FASE 1: DISCOVERY & PLANNING,  - Consolidación documentos,Documentos completos,10/10/2025,10/10/2025,0.25,N/A
FASE 1: DISCOVERY & PLANNING,  - Preparación presentación demo,Prototipo funcional,10/10/2025,10/10/2025,0.25,N/A
FASE 1: DISCOVERY & PLANNING,1.9 Review Fase 1 con Cliente,Todos entregables listos,11/10/2025,11/10/2025,0.5,Disponibilidad cliente 2h
FASE 1: DISCOVERY & PLANNING,  - Demo wireframes y arquitectura,Presentación preparada,11/10/2025,11/10/2025,0.25,N/A
FASE 1: DISCOVERY & PLANNING,  - Validación documentación,Docs completos,11/10/2025,11/10/2025,0.125,Aprobación formal cliente
FASE 1: DISCOVERY & PLANNING,  - Recolección feedback,Ninguno,11/10/2025,11/10/2025,0.125,Feedback cliente
FASE 1: DISCOVERY & PLANNING,1.10 Ajustes Post-Review,Feedback cliente,11/10/2025,11/10/2025,0.5,N/A
FASE 1: DISCOVERY & PLANNING,1.11 Reporte Semanal #1,Semana completada,11/10/2025,11/10/2025,0.25,N/A
FASE 1: DISCOVERY & PLANNING,1.12 Preparación Fase 2,Fase 1 aprobada,11/10/2025,14/10/2025,1,Pago 30% recibido
FASE 2: DESARROLLO,2.1 Revisión Final Documentación Fase 1,Fase 1 aprobada,14/10/2025,14/10/2025,0.5,N/A
FASE 2: DESARROLLO,2.2 Análisis Lineamientos ENA 2025,Docs ENA disponibles,14/10/2025,15/10/2025,1.5,PDF 'Planeación ENA 2025'
FASE 2: DESARROLLO,  - Lectura profunda PDF lineamientos,PDF disponible,14/10/2025,15/10/2025,0.75,Documento oficial ENA 2025
FASE 2: DESARROLLO,  - Extracción conceptos pedagógicos clave,Lectura completa,15/10/2025,15/10/2025,0.375,N/A
FASE 2: DESARROLLO,  - Identificación principios planeación,Conceptos extraídos,15/10/2025,15/10/2025,0.375,N/A
FASE 2: DESARROLLO,2.3 Organización 194 PDFs,PDFs recibidos del cliente,15/10/2025,16/10/2025,1.5,194 PDFs (160 Redes FEN + 34 ENA)
FASE 2: DESARROLLO,  - Creación estructura carpetas Insumos/,Ninguno,15/10/2025,15/10/2025,0.125,N/A
FASE 2: DESARROLLO,  - Clasificación docs por tipo,PDFs disponibles,15/10/2025,16/10/2025,0.75,N/A
FASE 2: DESARROLLO,  - Renombrado y organización archivos,Clasificación completa,16/10/2025,16/10/2025,0.625,N/A
FASE 2: DESARROLLO,2.4 Setup Backend Node.js,Fase 1 aprobada,14/10/2025,14/10/2025,0.5,N/A
FASE 2: DESARROLLO,  - Verificación dependencias package.json,Ninguno,14/10/2025,14/10/2025,0.125,N/A
FASE 2: DESARROLLO,  - Configuración variables entorno .env,Ninguno,14/10/2025,14/10/2025,0.125,OpenAI API Key con créditos
FASE 2: DESARROLLO,  - Instalación librerías adicionales,Ninguno,14/10/2025,14/10/2025,0.125,N/A
FASE 2: DESARROLLO,  - Verificación servidor Express,Ninguno,14/10/2025,14/10/2025,0.125,N/A
FASE 2: DESARROLLO,2.5 Implementación Vector Store,PDFs organizados,16/10/2025,23/10/2025,5,194 PDFs listos
FASE 2: DESARROLLO,  - Extensión enaDoc.js para batch upload,Código base existe,16/10/2025,17/10/2025,1.5,N/A
FASE 2: DESARROLLO,  - Script inicialización vector store,enaDoc extendido,18/10/2025,18/10/2025,0.75,N/A
FASE 2: DESARROLLO,  - Carga 160 docs Redes FEN,Script listo,21/10/2025,22/10/2025,1.5,160 PDFs Redes FEN
FASE 2: DESARROLLO,  - Carga 34 docs metodológicos ENA,Redes FEN cargadas,22/10/2025,22/10/2025,0.5,34 PDFs metodológicos
FASE 2: DESARROLLO,  - Verificación indexación completa,Carga completa,23/10/2025,23/10/2025,0.25,N/A
FASE 2: DESARROLLO,  - Pruebas búsqueda semántica,Indexación verificada,23/10/2025,23/10/2025,0.5,N/A
FASE 2: DESARROLLO,2.6 Diseño Estructura Prompts,Lineamientos ENA analizados,15/10/2025,16/10/2025,1,N/A
FASE 2: DESARROLLO,  - Template prompt sistema,Ninguno,15/10/2025,15/10/2025,0.25,N/A
FASE 2: DESARROLLO,  - Template prompt usuario,Template sistema,15/10/2025,16/10/2025,0.375,N/A
FASE 2: DESARROLLO,  - Variables contextuales dinámicas,Templates base,16/10/2025,16/10/2025,0.25,N/A
FASE 2: DESARROLLO,  - Integración búsqueda vectorial en prompts,Vector store funcional,16/10/2025,16/10/2025,0.125,N/A
FASE 2: DESARROLLO,2.7 Optimización Prompts por Contexto,Vector store + prompts base,24/10/2025,30/10/2025,5,N/A
FASE 2: DESARROLLO,  - Prompts específicos multigrado,Ninguno,24/10/2025,25/10/2025,1.25,N/A
FASE 2: DESARROLLO,  - Prompts específicos monogrado,Prompts multigrado,25/10/2025,25/10/2025,0.75,N/A
FASE 2: DESARROLLO,  - Diferenciación por área curricular,Prompts mono/multi,28/10/2025,29/10/2025,1.5,N/A
FASE 2: DESARROLLO,  - Adaptación por recursos disponibles,Diferenciación área,29/10/2025,30/10/2025,1,N/A
FASE 2: DESARROLLO,  - Ajuste por dificultades aprendizaje,Adaptación recursos,30/10/2025,30/10/2025,0.5,N/A
FASE 2: DESARROLLO,2.8 Integración Vector Search en Endpoint,Vector store + prompts optimizados,23/10/2025,24/10/2025,1,N/A
FASE 2: DESARROLLO,  - Modificación generate-flex.js,Ninguno,23/10/2025,23/10/2025,0.5,N/A
FASE 2: DESARROLLO,  - Implementación búsqueda semántica,generate-flex modificado,23/10/2025,24/10/2025,0.375,N/A
FASE 2: DESARROLLO,  - Enriquecimiento contexto con resultados,Búsqueda implementada,24/10/2025,24/10/2025,0.125,N/A
FASE 2: DESARROLLO,2.9 Setup Framework de Tests,Backend funcional,31/10/2025,31/10/2025,0.5,N/A
FASE 2: DESARROLLO,  - Instalación Jest + Supertest,Ninguno,31/10/2025,31/10/2025,0.125,N/A
FASE 2: DESARROLLO,  - Configuración jest.config.js,Jest instalado,31/10/2025,31/10/2025,0.125,N/A
FASE 2: DESARROLLO,  - Setup mocks OpenAI API,Jest configurado,31/10/2025,31/10/2025,0.25,N/A
FASE 2: DESARROLLO,2.10 Tests Unitarios Utils,Framework configurado,04/11/2025,06/11/2025,2.5,N/A
FASE 2: DESARROLLO,  - Tests guidelines.js (caché),Ninguno,04/11/2025,04/11/2025,0.75,N/A
FASE 2: DESARROLLO,  - Tests enaDoc.js (vector store),Tests guidelines,05/11/2025,05/11/2025,0.875,N/A
FASE 2: DESARROLLO,  - Tests jsonRepair.js,Tests enaDoc,05/11/2025,05/11/2025,0.375,N/A
FASE 2: DESARROLLO,  - Tests helpers y utilidades,Tests jsonRepair,06/11/2025,06/11/2025,0.5,N/A
FASE 2: DESARROLLO,2.11 Tests Integración Endpoint,Tests unitarios completos,06/11/2025,08/11/2025,2,N/A
FASE 2: DESARROLLO,  - Tests POST /api/generate-flex,Ninguno,06/11/2025,07/11/2025,1,N/A
FASE 2: DESARROLLO,  - Tests validación JSON Schema,Tests POST,07/11/2025,07/11/2025,0.5,N/A
FASE 2: DAVIDSON,  - Tests manejo de errores,Tests validación,07/11/2025,08/11/2025,0.375,N/A
FASE 2: DESARROLLO,  - Tests casos extremos,Tests errores,08/11/2025,08/11/2025,0.125,N/A
FASE 2: DESARROLLO,2.12 Validación Cobertura >60%,Todos tests implementados,08/11/2025,08/11/2025,0.25,N/A
FASE 2: DESARROLLO,  - Ejecución reporte cobertura,Ninguno,08/11/2025,08/11/2025,0.125,N/A
FASE 2: DESARROLLO,  - Identificación gaps cobertura,Reporte generado,08/11/2025,08/11/2025,0.0625,N/A
FASE 2: DESARROLLO,  - Tests adicionales si <60%,Gaps identificados,08/11/2025,08/11/2025,0.0625,N/A
FASE 2: DESARROLLO,2.13 Ajustes Prototipo HTML,Feedback Fase 1,31/10/2025,04/11/2025,2.5,Feedback UX cliente
FASE 2: DESARROLLO,  - Mejoras validación formulario,Ninguno,31/10/2025,04/11/2025,1,N/A
FASE 2: DESARROLLO,  - Optimización estados de carga,Validación mejorada,04/11/2025,04/11/2025,0.75,N/A
FASE 2: DESARROLLO,  - Manejo errores mejorado,Estados optimizados,04/11/2025,04/11/2025,0.75,N/A
FASE 2: DESARROLLO,2.14 Pruebas Calidad Planes Generados,Prompts optimizados + vector store,11/11/2025,12/11/2025,1.5,N/A
FASE 2: DESARROLLO,  - Generación 10 planes de prueba,Ninguno,11/11/2025,11/11/2025,0.5,N/A
FASE 2: DESARROLLO,  - Validación alineación curricular,Planes generados,11/11/2025,12/11/2025,0.5,N/A
FASE 2: DESARROLLO,  - Verificación adaptaciones ENA,Validación curricular,12/11/2025,12/11/2025,0.25,N/A
FASE 2: DESARROLLO,  - Ajustes finales prompts,Verificación completa,12/11/2025,12/11/2025,0.25,N/A
FASE 2: DESARROLLO,2.15 Documentación Técnica Completa,Sistema completo funcional,13/11/2025,14/11/2025,1.5,N/A
FASE 2: DESARROLLO,  - Actualización README.md,Ninguno,13/11/2025,13/11/2025,0.375,N/A
FASE 2: DESARROLLO,  - Documentación API completa,README actualizado,13/11/2025,13/11/2025,0.375,N/A
FASE 2: DESARROLLO,  - Guía instalación y configuración,API documentada,13/11/2025,14/11/2025,0.375,N/A
FASE 2: DESARROLLO,  - Documentación código (comentarios),Guía completa,14/11/2025,14/11/2025,0.375,N/A
FASE 2: DESARROLLO,2.16 Review Fase 2 con Cliente,Todos entregables Fase 2,15/11/2025,15/11/2025,0.5,Disponibilidad cliente 2h
FASE 2: DESARROLLO,  - Demo sistema completo,Sistema funcional,15/11/2025,15/11/2025,0.25,N/A
FASE 2: DESARROLLO,  - Validación funcionalidades MVP,Demo completada,15/11/2025,15/11/2025,0.125,Aprobación funcional cliente
FASE 2: DESARROLLO,  - Aprobación Fase 2,Validación exitosa,15/11/2025,15/11/2025,0.125,Pago 50% ($2,250)
FASE 2: DESARROLLO,2.17 Reporte Semanal #2-6,Cada viernes,17/10/2025,14/11/2025,4,N/A
FASE 4: VALIDACIÓN,4.1 Diseño Protocolo Validación,Fase 2 aprobada,18/11/2025,19/11/2025,1.5,N/A
FASE 4: VALIDACIÓN,  - Diseño cuestionarios docentes,Ninguno,18/11/2025,18/11/2025,0.5,N/A
FASE 4: VALIDACIÓN,  - Definición métricas evaluación,Cuestionarios diseñados,18/11/2025,19/11/2025,0.375,N/A
FASE 4: VALIDACIÓN,  - Protocolo sesiones de uso,Métricas definidas,19/11/2025,19/11/2025,0.375,N/A
FASE 4: VALIDACIÓN,  - Template recolección feedback,Protocolo definido,19/11/2025,19/11/2025,0.25,N/A
FASE 4: VALIDACIÓN,4.2 Reclutamiento Docentes ENA,Protocolo listo,18/11/2025,25/11/2025,5,Contactos instituciones ENA
FASE 4: VALIDACIÓN,  - Contacto 15 instituciones ENA,Ninguno,18/11/2025,20/11/2025,2,Lista instituciones cliente
FASE 4: VALIDACIÓN,  - Presentación proyecto a docentes,Instituciones contactadas,21/11/2025,22/11/2025,1.5,N/A
FASE 4: VALIDACIÓN,  - Confirmación 3-5 docentes,Presentación realizada,25/11/2025,25/11/2025,0.5,Compromiso docentes
FASE 4: VALIDACIÓN,  - Agendamiento sesiones,Docentes confirmados,25/11/2025,25/11/2025,0.25,Disponibilidad docentes
FASE 4: VALIDACIÓN,4.3 Preparación Materiales Capacitación,Docentes confirmados,26/11/2025,27/11/2025,1.5,N/A
FASE 4: VALIDACIÓN,  - Manual usuario del sistema,Ninguno,26/11/2025,26/11/2025,0.5,N/A
FASE 4: VALIDACIÓN,  - Video tutorial (5-7 min),Manual completo,26/11/2025,27/11/2025,0.75,N/A
FASE 4: VALIDACIÓN,  - Casos de uso ejemplo,Video tutorial,27/11/2025,27/11/2025,0.25,N/A
FASE 4: VALIDACIÓN,4.4 Sesiones Validación Docente 1,Materiales listos,28/11/2025,28/11/2025,0.5,Disponibilidad docente 2h
FASE 4: VALIDACIÓN,  - Capacitación uso sistema,Ninguno,28/11/2025,28/11/2025,0.125,N/A
FASE 4: VALIDACIÓN,  - Generación 2-3 planes por docente,Capacitación completada,28/11/2025,28/11/2025,0.25,Contexto aula docente
FASE 4: VALIDACIÓN,  - Recolección feedback estructurado,Planes generados,28/11/2025,28/11/2025,0.125,N/A
FASE 4: VALIDACIÓN,4.5 Sesiones Validación Docente 2,Sesión 1 completada,02/12/2025,02/12/2025,0.5,Disponibilidad docente 2h
FASE 4: VALIDACIÓN,  - Capacitación uso sistema,Ninguno,02/12/2025,02/12/2025,0.125,N/A
FASE 4: VALIDACIÓN,  - Generación 2-3 planes por docente,Capacitación completada,02/12/2025,02/12/2025,0.25,Contexto aula docente
FASE 4: VALIDACIÓN,  - Recolección feedback estructurado,Planes generados,02/12/2025,02/12/2025,0.125,N/A
FASE 4: VALIDACIÓN,4.6 Sesiones Validación Docente 3,Sesión 2 completada,04/12/2025,04/12/2025,0.5,Disponibilidad docente 2h
FASE 4: VALIDACIÓN,  - Capacitación uso sistema,Ninguno,04/12/2025,04/12/2025,0.125,N/A
FASE 4: VALIDACIÓN,  - Generación 2-3 planes por docente,Capacitación completada,04/12/2025,04/12/2025,0.25,Contexto aula docente
FASE 4: VALIDACIÓN,  - Recolección feedback estructurado,Planes generados,04/12/2025,04/12/2025,0.125,N/A
FASE 4: VALIDACIÓN,4.7 Sesiones Validación Docente 4-5,Sesión 3 completada,05/12/2025,06/12/2025,1,Disponibilidad docentes 2h c/u
FASE 4: VALIDACIÓN,  - Sesiones adicionales (opcional),Mínimo 3 ya completadas,05/12/2025,06/12/2025,1,Contexto aula docentes
FASE 4: VALIDACIÓN,4.8 Análisis Feedback y Patrones,3+ sesiones completadas,09/12/2025,10/12/2025,1.5,N/A
FASE 4: VALIDACIÓN,  - Consolidación feedback recibido,Ninguno,09/12/2025,09/12/2025,0.375,N/A
FASE 4: VALIDACIÓN,  - Identificación patrones comunes,Feedback consolidado,09/12/2025,09/12/2025,0.375,N/A
FASE 4: VALIDACIÓN,  - Priorización mejoras viables,Patrones identificados,09/12/2025,10/12/2025,0.375,N/A
FASE 4: VALIDACIÓN,  - Definición plan iteraciones,Mejoras priorizadas,10/12/2025,10/12/2025,0.375,N/A
FASE 4: VALIDACIÓN,4.9 Iteraciones Finales Sistema,Análisis feedback,11/12/2025,12/12/2025,1.5,N/A
FASE 4: VALIDACIÓN,  - Ajustes prompts según feedback,Ninguno,11/12/2025,11/12/2025,0.75,N/A
FASE 4: VALIDACIÓN,  - Mejoras UX formulario,Prompts ajustados,11/12/2025,12/12/2025,0.375,N/A
FASE 4: VALIDACIÓN,  - Corrección bugs identificados,UX mejorada,12/12/2025,12/12/2025,0.375,N/A
FASE 4: VALIDACIÓN,4.10 Informe Validación,Iteraciones completadas,13/12/2025,13/12/2025,0.75,N/A
FASE 4: VALIDACIÓN,  - Resumen metodología validación,Ninguno,13/12/2025,13/12/2025,0.125,N/A
FASE 4: VALIDACIÓN,  - Resultados cuantitativos,Metodología documentada,13/12/2025,13/12/2025,0.25,N/A
FASE 4: VALIDACIÓN,  - Resultados cualitativos,Cuantitativos completos,13/12/2025,13/12/2025,0.25,N/A
FASE 4: VALIDACIÓN,  - Recomendaciones futuras,Cualitativos completos,13/12/2025,13/12/2025,0.125,N/A
FASE 4: VALIDACIÓN,4.11 Documentación Final Entrega,Sistema validado,13/12/2025,15/12/2025,2,N/A
FASE 4: VALIDACIÓN,  - Manual técnico completo,Ninguno,13/12/2025,14/12/2025,0.75,N/A
FASE 4: VALIDACIÓN,  - Manual usuario final,Manual técnico,14/12/2025,14/12/2025,0.5,N/A
FASE 4: VALIDACIÓN,  - Guía despliegue producción,Manuales completos,14/12/2025,15/12/2025,0.375,N/A
FASE 4: VALIDACIÓN,  - Documentación API final (Swagger),Guía despliegue,15/12/2025,15/12/2025,0.25,N/A
FASE 4: VALIDACIÓN,  - Video demostrativo final,Docs completas,15/12/2025,15/12/2025,0.125,N/A
FASE 4: VALIDACIÓN,4.12 Entrega Final y Cierre,Todos entregables listos,16/12/2025,16/12/2025,0.5,N/A
FASE 4: VALIDACIÓN,  - Revisión checklist entregables,Ninguno,16/12/2025,16/12/2025,0.125,N/A
FASE 4: VALIDACIÓN,  - Entrega formal al cliente,Checklist verificado,16/12/2025,16/12/2025,0.125,Aprobación final cliente
FASE 4: VALIDACIÓN,  - Acta de cierre firmada,Entrega aceptada,16/12/2025,16/12/2025,0.125,Firma cliente
FASE 4: VALIDACIÓN,  - Transferencia código y documentación,Acta firmada,16/12/2025,16/12/2025,0.125,Pago final 20% ($900)
FASE 4: VALIDACIÓN,4.13 Lecciones Aprendidas,Proyecto cerrado,16/12/2025,16/12/2025,0.5,N/A
FASE 4: VALIDACIÓN,  - Retrospectiva proyecto,Ninguno,16/12/2025,16/12/2025,0.25,N/A
FASE 4: VALIDACIÓN,  - Documentación lecciones,Retrospectiva completa,16/12/2025,16/12/2025,0.25,N/A
FASE 4: VALIDACIÓN,4.14 Reportes Semanales #7-10,Cada viernes,21/11/2025,13/12/2025,4,N/A
